"geografie","geslacht","migratieachtergrond","huishouden","bins","opleiding_ouders","uitkomst","mean","parents_income","N","type","uitkomst_NL","subgroep","sample","sd"
"Nederland","Mannen","Suriname","Totaal","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Suriname","Totaal","Totaal","hbo","c00_infant_mortality",0.782608695652174,87.716146785207,3450,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Suriname","Totaal","Totaal","geen hbo of wo","c00_infant_mortality",0.940623162845385,57.8369544397804,17010,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Suriname","Eenoudergezin","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Suriname","Eenoudergezin","Totaal","hbo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Suriname","Eenoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.855984382039345,39.6508807401313,6659,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Suriname","Tweeoudergezin","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Suriname","Tweeoudergezin","Totaal","hbo","c00_infant_mortality",0.567174760723148,94.3924418807812,2821,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Suriname","Tweeoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.795677799607073,70.0823627451035,10180,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Nederlandse Antillen","Totaal","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Nederlandse Antillen","Totaal","Totaal","hbo","c00_infant_mortality",0.688194812069878,85.9853614507496,1889,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Nederlandse Antillen","Totaal","Totaal","geen hbo of wo","c00_infant_mortality",0.782940146286185,47.4799901282814,9707,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Nederlandse Antillen","Eenoudergezin","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Nederlandse Antillen","Eenoudergezin","Totaal","hbo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Nederlandse Antillen","Eenoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.656405613399728,33.1682725859159,4418,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Nederlandse Antillen","Tweeoudergezin","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
